Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
Tencent Holding,700,"11,185,704",1.26,NA
Nestle SA,NESN,"5,275,721",1.20,NA
ASML Holding NV,ASML Quick QuoteASML,"740,202",1.05,26.46
Taiwan Semicond,2330,"25,316,873",0.99,NA
Alibaba Group H,9988,"26,589,840",0.93,NA
Roche Holding A,ROG Quick QuoteROG,"1,307,996",0.90,58.15
Taiwan Semicond,TSM Quick QuoteTSM,"3,857,753",0.81,-4.68
Toyota Motor Co,7203,"23,041,535",0.78,NA
AstraZeneca plc,AZN Quick QuoteAZN,"2,897,500",0.66,13.13
LVMH Moet Henne,MC Quick QuoteMC,"466,601",0.63,-1.91
Novartis AG,NOVN Quick QuoteNOVN,"3,969,598",0.62,-76.26
Samsung Electro,5930,"4,604,148",0.54,NA
Novo Nordisk A/,NOVO,"2,970,001",0.54,NA
Shopify Inc,SHOP Quick QuoteSHOP,"206,117",0.53,-26.55
SAP SE,SAP Quick QuoteSAP,"2,084,634",0.53,6.40
Samsung Electro,SMSN,"173,398",0.51,NA
Royal Bank of C,RY Quick QuoteRY,"2,666,605",0.50,34.45
AIA Group Ltd,1299,"22,626,211",0.49,NA
Sony Group Corp,6758,"2,316,984",0.49,NA
SLCMT1142,N/A,NA,0.49,NA
Commonwealth Ba,CBA,"3,322,134",0.47,0.00
Meituan,3690,"7,268,518",0.44,NA
Toronto-Dominio,TD Quick QuoteTD,"3,401,478",0.43,34.63
Siemens AG,SIE,"1,406,147",0.43,NA
TotalEnergies S,TTE Quick QuoteTTE,"4,538,372",0.41,22.91
Diageo plc,DGE,"4,297,595",0.39,NA
Keyence Corp,6861,"336,774",0.38,NA
HSBC Holdings p,HSBA,"38,242,531",0.38,NA
Sanofi,SAN Quick QuoteSAN,"2,036,569",0.37,5.81
MKTLIQ,N/A,NA,0.37,NA
CSL Ltd,CSL Quick QuoteCSL,"850,790",0.34,45.79
Allianz SE,ALV Quick QuoteALV,"769,039",0.33,11.81
GlaxoSmithKline,GSK Quick QuoteGSK,"9,264,621",0.33,18.62
BP plc,BP,"37,255,216",0.32,NA
Royal Dutch She,RDSA,"7,532,453",0.32,NA
Schneider Elect,SU Quick QuoteSU,"990,355",0.31,48.41
Royal Dutch She,RDSB,"7,085,110",0.30,NA
Recruit Holding,6098,"2,499,514",0.29,NA
Adyen NV,ADYEN,"54,045",0.29,NA
British America,BATS,"4,269,269",0.28,0.00
Enbridge Inc,ENB Quick QuoteENB,"3,756,386",0.28,14.76
BHP Group Ltd,BHP Quick QuoteBHP,"5,513,213",0.28,-10.73
Hong Kong Excha,388,"2,373,055",0.28,NA
SoftBank Group ,9984,"2,504,107",0.27,NA
Unilever plc,UNA,"2,597,169",0.27,NA
Daimler AG,DAI,"1,573,429",0.26,NA
Bank of Nova Sc,BNS Quick QuoteBNS,"2,265,871",0.26,27.97
Airbus SE,AIR Quick QuoteAIR,"1,042,607",0.26,6.41
Mitsubishi UFJ ,8306,"23,202,554",0.26,NA
Prosus NV,PRX,"1,648,988",0.25,NA
Rio Tinto plc,RIO Quick QuoteRIO,"2,032,816",0.25,-10.06
BASF SE,BAS,"1,713,687",0.25,NA
Brookfield Asse,BAM.A,"2,491,151",0.25,NA
Shin-Etsu Chemi,4063,"742,497",0.24,NA
Canadian Nation,CNR Quick QuoteCNR,"1,108,409",0.24,8.65
BNP Paribas SA,BNP,"2,022,469",0.24,NA
Westpac Banking,WBC,"6,868,012",0.24,0.00
China Construct,939,"170,173,517",0.23,NA
L'Oreal SA,N/A,"290,348",0.23,NA
Housing Develop,HDFC,"3,263,551",0.23,NA
Bank of Montrea,BMO Quick QuoteBMO,"1,208,972",0.23,44.81
Unilever plc,ULVR,"2,231,670",0.23,NA
Tokyo Electron ,8035,"276,836",0.23,NA
Deutsche Teleko,DTE Quick QuoteDTE,"6,046,920",0.23,-3.10
National Austra,NAB,"6,176,583",0.23,NA
Glencore plc,GLEN,"24,784,256",0.22,NA
Banco Santander,SAN Quick QuoteSAN,"32,034,555",0.22,5.81
Deutsche Post A,DPW,"1,829,226",0.22,-68.93
Reliance Indust,RELIANCE,"3,361,289",0.22,NA
Zurich Insuranc,ZURN,"277,919",0.21,NA
adidas AG,ADS Quick QuoteADS,"358,161",0.21,-11.27
Iberdrola SA,IBE,"11,044,717",0.21,NA
Enel SPA,ENEL,"14,547,443",0.21,NA
ING Groep NV,INGA,"7,287,657",0.20,NA
Lonza Group AG,LONN,"138,660",0.20,NA
Daikin Industri,6367,"495,931",0.20,NA
EssilorLuxottic,EL Quick QuoteEL,"551,779",0.20,16.38
Australia & New,ANZ,"5,326,747",0.20,NA
KDDI Corp,9433,"3,135,824",0.20,NA
ABB Ltd,ABBN,"3,169,023",0.20,NA
Hoya Corp,7741,"667,409",0.20,NA
Bayer AG,BAYN,"1,842,193",0.19,0.00
Honda Motor Co,7267,"3,198,913",0.19,NA
Infineon Techno,IFX,"2,447,912",0.19,NA
Hitachi Ltd,6501,"1,729,036",0.19,NA
AXA SA,CS Quick QuoteCS,"3,593,940",0.19,-29.70
Tata Consultanc,TCS Quick QuoteTCS,"1,941,634",0.19,-16.47
BHP Group plc,BHP Quick QuoteBHP,"3,887,535",0.19,-10.73
Cie Financiere ,CFR Quick QuoteCFR,"954,411",0.19,36.02
Wuxi Biologics ,2269,"6,135,112",0.19,NA
Daiichi Sankyo ,4568,"3,512,169",0.18,NA
Nidec Corp,6594,"866,369",0.18,NA
Kering SA,KER,"137,234",0.18,NA
Murata Manufact,6981,"1,066,455",0.18,NA
Vinci SA,DG Quick QuoteDG,"937,961",0.18,2.47
UBS Group AG,UBSG,"6,089,899",0.18,NA
Prudential plc,PRU Quick QuotePRU,"4,887,917",0.18,30.95
Reckitt Benckis,RKT Quick QuoteRKT,"1,186,745",0.18,-34.98
Nintendo Co. Lt,7974,"200,765",0.18,NA
Intesa Sanpaolo,ISP,"31,132,283",0.17,NA
Anheuser-Busch ,ABI,"1,570,266",0.17,NA
Air Liquide SA,N/A,"560,609",0.17,NA
DSV A/S,DSV,"366,872",0.17,NA
Canadian Imperi,CM Quick QuoteCM,"818,102",0.17,42.77
Reliance Indust,RIGD,"1,339,632",0.17,NA
Takeda Pharmace,4502,"2,741,255",0.17,NA
TC Energy Corp,TRP Quick QuoteTRP,"1,832,507",0.17,13.20
Infosys Ltd,INFY Quick QuoteINFY,"4,128,417",0.17,27.23
MediaTek Inc,2454,"2,778,700",0.17,NA
Hon Hai Precisi,2317,"22,509,823",0.16,NA
Industrial & Co,1398,"150,821,655",0.16,NA
SK Hynix Inc,660,"965,576",0.16,NA
Safran SA,SAF,"654,722",0.16,NA
Samsung Electro,5935,"1,423,189",0.16,NA
Sika AG,SIKA,"264,592",0.16,NA
Banco Bilbao Vi,BBVA Quick QuoteBBVA,"12,443,504",0.16,27.73
Sumitomo Mitsui,8316,"2,428,481",0.16,NA
Wesfarmers Ltd,WES Quick QuoteWES,"2,118,853",0.16,43.19
Lloyds Banking ,LLOY,"132,347,203",0.16,NA
JD.com Inc,JD Quick QuoteJD,"1,145,620",0.16,-22.93
NIO Inc,NIO Quick QuoteNIO,"2,423,247",0.16,-52.61
Pernod Ricard S,RI,"388,987",0.16,NA
National Grid p,NG,"6,651,946",0.15,NA
Givaudan SA,GIVN,"17,261",0.15,NA
FANUC Corp,6954,"358,610",0.15,NA
Barclays plc,BARC,"31,638,287",0.15,NA
NAVER Corp,35420,"246,793",0.15,NA
Hermes Internat,RMS,"57,792",0.15,NA
Baidu Inc,BIDU Quick QuoteBIDU,"512,873",0.15,-39.89
Volkswagen AG,VOW3,"345,611",0.15,NA
Vodafone Group ,VOD Quick QuoteVOD,"51,706,824",0.15,-9.59
Canadian Natura,CNQ Quick QuoteCNQ,"2,169,388",0.15,103.81
Canadian Pacifi,CP Quick QuoteCP,"1,248,823",0.15,5.27
Anglo American ,AAL Quick QuoteAAL,"2,297,897",0.15,0.80
Macquarie Group,MQG,"623,502",0.15,NA
Al Rajhi Bank,1120,"2,297,847",0.14,NA
DBS Group Holdi,D05,"3,386,134",0.14,NA
Vestas Wind Sys,VWS,"1,886,445",0.14,NA
Koninklijke Phi,PHIA,"1,694,985",0.14,NA
Muenchener Ruec,MUV2,"262,115",0.14,NA
Atlas Copco AB,ATCO Quick QuoteATCO,"1,217,359",0.14,24.24
Danone SA,BN,"1,122,797",0.14,NA
Industria de Di,ITX,"1,961,148",0.14,NA
Experian plc,EXPN,"1,713,774",0.14,NA
ITOCHU Corp,8001,"2,528,728",0.14,NA
Investor AB,INVE Quick QuoteINVE,"3,562,837",0.14,132.45
Ping An Insuran,2318,"10,815,862",0.14,NA
Mizuho Financia,8411,"4,749,270",0.13,NA
Compass Group p,CPG Quick QuoteCPG,"3,328,217",0.13,90.03
SMC Corp,6273,"106,431",0.13,NA
Sberbank of Rus,SBER,"14,792,356",0.13,NA
Cellnex Telecom,CLNX,"1,137,388",0.13,NA
Xiaomi Corp,1810,"24,764,568",0.13,NA
Saudi National ,1180,"4,118,948",0.13,NA
Mitsubishi Corp,8058,"2,237,872",0.13,NA
Fast Retailing ,9983,"95,762",0.13,NA
SoftBank Corp,9434,"5,063,539",0.13,NA
London Stock Ex,LSEG,"679,196",0.13,NA
Vale SA,VALE3,"4,835,953",0.13,NA
Gazprom PJSC,OGZD,"6,827,148",0.13,NA
Nordea Bank Abp,NDA,"5,225,418",0.13,NA
Woolworths Grou,WOW Quick QuoteWOW,"2,373,745",0.13,65.01
